scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_CA_avibase8.17,status_NAM_avibase8.17,status_NaN_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data,AOU_bbs2024.combo,scientific_name_clements2024.combo,common_name_clements2024.combo
Anthus spragueii,Sprague's Pipit,Anthus spragueii,Sprague's Pipit,PASSERIFORMES,Motacillidae,Vulnerable,Vulnerable,NA,Vulnerable,NA,CA; CAM; CAR; hol; NAM; nea; US48,yes,7000,Sprague's Pipit,Passeriformes,Motacillidae,Anthus spragueii,yes,Sprague's Pipit,Anthus spragueii,prairies and plains of North America; winters to southern Mexico,Motacillidae (Wagtails and Pipits),Passeriformes,yes,Vulnerable; Vulnerable,yes,7000,Anthus spragueii,Sprague's Pipit
Antigone canadensis,Sandhill Crane,Antigone canadensis,Sandhill Crane,GRUIFORMES,Gruidae,NA,NA,NA,NA,NA,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak; UShi,yes,2060,Sandhill Crane,Gruiformes,Gruidae,Antigone canadensis,yes,Sandhill Crane,Antigone canadensis,NA,Gruidae (Cranes),Gruiformes,yes,NA,yes,2060,Antigone canadensis,Sandhill Crane
Antrostomus arizonae,Mexican Whip-poor-will,Antrostomus arizonae,Mexican Whip-poor-will,CAPRIMULGIFORMES,Caprimulgidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,4172,Mexican Whip-poor-will,Caprimulgiformes,Caprimulgidae,Antrostomus arizonae,yes,Mexican Whip-poor-will,Antrostomus arizonae,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,NA,yes,4172,Antrostomus arizonae,Mexican Whip-poor-will
Antrostomus carolinensis,Chuck-will's-widow,Antrostomus carolinensis,Chuck-will's-widow,CAPRIMULGIFORMES,Caprimulgidae,Rare/Accidental Near-threatened,Near-threatened,Near-threatened,Near-threatened,NA,CA; CAM; CAR; hol; NAM; NaN; nea; OCE; PAC; SAM; US48,yes,4160,Chuck-will's-widow,Caprimulgiformes,Caprimulgidae,Antrostomus carolinensis,yes,Chuck-will's-widow,Antrostomus carolinensis,eastern USA; winters southeastern USA to Greater Antilles and northern South America,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Rare/Accidental Near-threatened; Near-threatened,yes,4160,Antrostomus carolinensis,Chuck-will's-widow
Antrostomus vociferus,Eastern Whip-poor-will,Antrostomus vociferus,Eastern Whip-poor-will,CAPRIMULGIFORMES,Caprimulgidae,Near-threatened,Near-threatened,NA,Near-threatened,Rare/Accidental Near-threatened,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,4171,Eastern Whip-poor-will,Caprimulgiformes,Caprimulgidae,Antrostomus vociferus,yes,Eastern Whip-poor-will,Antrostomus vociferus,southern Canada and eastern USA; winters to Cuba and western Panama,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Near-threatened; Near-threatened; Rare/Accidental Near-threatened,yes,4171,Antrostomus vociferus,Eastern Whip-poor-will
Aphelocoma californica,California Scrub-Jay,Aphelocoma californica,California Scrub-Jay,PASSERIFORMES,Corvidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,4812,California Scrub-Jay,Passeriformes,Corvidae,Aphelocoma californica,yes,California Scrub-Jay,Aphelocoma californica,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Rare/Accidental,yes,4812,Aphelocoma californica,California Scrub-Jay
Aphelocoma californica/woodhouseii,California/Woodhouse's Scrub-Jay; unid. California Scrub-Jay/Woodhouse's Scrub-Jay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,4810,unid. California Scrub-Jay / Woodhouse's Scrub-Jay,Passeriformes,Corvidae,Aphelocoma californica / woodhouseii,yes,California/Woodhouse's Scrub-Jay,Aphelocoma californica/woodhouseii,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,NA,yes,4810,Aphelocoma californica/woodhouseii,California/Woodhouse's Scrub-Jay
Aphelocoma coerulescens,Florida Scrub-Jay,Aphelocoma coerulescens,Florida Scrub-Jay,PASSERIFORMES,Corvidae,NA,Vulnerable,NA,Endemic Vulnerable,NA,hol; NAM; nea; US48,yes,4790,Florida Scrub-Jay,Passeriformes,Corvidae,Aphelocoma coerulescens,yes,Florida Scrub-Jay,Aphelocoma coerulescens,locally in central peninsular and Atlantic coastal Florida,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Endemic Vulnerable,yes,4790,Aphelocoma coerulescens,Florida Scrub-Jay
Aphelocoma insularis,Island Scrub-Jay,Aphelocoma insularis,Island Scrub-Jay,PASSERIFORMES,Corvidae,NA,NA,NA,Endemic,NA,hol; NAM; nea; US48,yes,4811,Island Scrub-Jay,Passeriformes,Corvidae,Aphelocoma insularis,yes,Island Scrub-Jay,Aphelocoma insularis,Santa Cruz Island (Channel Islands off southern California),"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Endemic,yes,4811,Aphelocoma insularis,Island Scrub-Jay
Aphelocoma wollweberi,Mexican Jay,Aphelocoma wollweberi,Mexican Jay,PASSERIFORMES,Corvidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,4820,Mexican Jay,Passeriformes,Corvidae,Aphelocoma wollweberi,yes,Mexican Jay,Aphelocoma wollweberi,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,NA,yes,4820,Aphelocoma wollweberi,Mexican Jay
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,PASSERIFORMES,Corvidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,4813,Woodhouse's Scrub-Jay,Passeriformes,Corvidae,Aphelocoma woodhouseii,yes,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Rare/Accidental,yes,4813,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay
Aquila chrysaetos,Golden Eagle,Aquila chrysaetos,Golden Eagle,ACCIPITRIFORMES,Accipitridae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,3490,Golden Eagle,Accipitriformes,Accipitridae,Aquila chrysaetos,yes,Golden Eagle,Aquila chrysaetos,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,yes,3490,Aquila chrysaetos,Golden Eagle
Aramus guarauna,Limpkin,Aramus guarauna,Limpkin,GRUIFORMES,Aramidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; TT; US48,yes,2070,Limpkin,Gruiformes,Aramidae,Aramus guarauna,yes,Limpkin,Aramus guarauna,NA,Aramidae (Limpkin),Gruiformes,yes,Rare/Accidental,yes,2070,Aramus guarauna,Limpkin
Aratinga nenday,Nanday Parakeet,Aratinga nenday,Nanday Parakeet,PSITTACIFORMES,Psittacidae,NA,Introduced species,NA,Introduced species,NA,AFR; CAR; hol; MID; NAM; nea; pal; SAM; US48,yes,51830,Nanday Parakeet,Psittaciformes,Psittacidae,Aratinga nenday,yes,Nanday Parakeet,Aratinga nenday,"Pantanal of southeastern Bolivia, southwestern Brazil, Paraguay, and northern Argentina",Psittacidae (New World and African Parrots),Psittaciformes,yes,Introduced species,yes,51830,Aratinga nenday,Nanday Parakeet
Archilochus alexandri,Black-chinned Hummingbird,Archilochus alexandri,Black-chinned Hummingbird,APODIFORMES,Trochilidae,NA,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,4290,Black-chinned Hummingbird,Apodiformes,Trochilidae,Archilochus alexandri,yes,Black-chinned Hummingbird,Archilochus alexandri,breeds drier parts of southern British Columbia to northwestern Mexico; winters to southern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,NA,yes,4290,Archilochus alexandri,Black-chinned Hummingbird
Archilochus colubris,Ruby-throated Hummingbird,Archilochus colubris,Ruby-throated Hummingbird,APODIFORMES,Trochilidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; hol; NAM; nea; SAM; US48; USak,yes,4280,Ruby-throated Hummingbird,Apodiformes,Trochilidae,Archilochus colubris,yes,Ruby-throated Hummingbird,Archilochus colubris,eastern Canada and USA; winters Mexico to Panama,Trochilidae (Hummingbirds),Apodiformes,yes,Rare/Accidental,yes,4280,Archilochus colubris,Ruby-throated Hummingbird
Archilochus colubris/alexandri,Ruby-throated/Black-chinned Hummingbird; unid. Ruby-throated/Black-chinned Hummingbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,4295,unid. Ruby-throated / Black-chinned Hummingbird,Apodiformes,Trochilidae,Archilochus colubris / alexandri,yes,Ruby-throated/Black-chinned Hummingbird,Archilochus colubris/alexandri,NA,Trochilidae (Hummingbirds),Apodiformes,yes,NA,yes,4295,Archilochus colubris/alexandri,Ruby-throated/Black-chinned Hummingbird
Ardea alba,Great Egret,Ardea alba,Great Egret,PELECANIFORMES,Ardeidae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1960,Great Egret,Pelecaniformes,Ardeidae,Ardea alba,yes,Great Egret,Ardea alba,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Rare/Accidental,yes,1960,Ardea alba,Great Egret
Ardea herodias,Great Blue Heron,Ardea herodias,Great Blue Heron,PELECANIFORMES,Ardeidae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1940,Great Blue Heron,Pelecaniformes,Ardeidae,Ardea herodias,yes,Great Blue Heron,Ardea herodias,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,NA,yes,31940,Ardea herodias,Great Blue Heron
Ardea herodias occidentalis,Great Blue Heron (Great White); (Great White Heron) Great Blue Heron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,1920,(Great White Heron) Great Blue Heron,Pelecaniformes,Ardeidae,Ardea herodias occidentalis,yes,Great Blue Heron (Great White),Ardea herodias occidentalis,southern Florida through West Indies to islands off Venezuela,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,NA,yes,31940,Ardea herodias,Great Blue Heron
Ardea ibis; Bubulcus ibis,Western Cattle-Egret; Cattle Egret,Ardea ibis,Western Cattle-Egret,PELECANIFORMES,Ardeidae,Rare/Accidental,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,2001,Cattle Egret,Pelecaniformes,Ardeidae,Bubulcus ibis,yes,Western Cattle-Egret,Ardea ibis,"southern Europe eastward to Iran, and Africa, Madagascar, and islands in western Indian Ocean (Seychelles, Aldabra, Comoros, and Mauritius); colonized the New World in the 20th century, now widespread in North and South America; introduced to the Hawaiian Islands; partially migratory in North America and southern Africa","Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Rare/Accidental; Rare/Accidental,yes,2001,Ardea ibis,Western Cattle-Egret
Ardea sp.; Ardeid sp.,Ardea sp.; unid. heron/egret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,1945,unid. heron / egret,Pelecaniformes,Ardeidae,Ardeid sp.,yes,Ardea sp.,Ardea sp.,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,NA,yes,1945,Ardea sp.,Ardea sp.
Arenaria interpres,Ruddy Turnstone,Arenaria interpres,Ruddy Turnstone,CHARADRIIFORMES,Scolopacidae,Near-threatened,Near-threatened,Near-threatened,Near-threatened,Near-threatened,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,2830,Ruddy Turnstone,Charadriiformes,Scolopacidae,Arenaria interpres,yes,Ruddy Turnstone,Arenaria interpres,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Near-threatened; Near-threatened; Near-threatened,yes,2830,Arenaria interpres,Ruddy Turnstone
Arenaria melanocephala,Black Turnstone,Arenaria melanocephala,Black Turnstone,CHARADRIIFORMES,Scolopacidae,NA,NA,NA,NA,Breeding endemic,ASI; CA; CAM; hol; NAM; nea; SAM; US48; USak,yes,2840,Black Turnstone,Charadriiformes,Scolopacidae,Arenaria melanocephala,yes,Black Turnstone,Arenaria melanocephala,breeds coastal Alaska; winters southeastern Alaska to northwestern Mexico,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Breeding endemic,yes,2840,Arenaria melanocephala,Black Turnstone
Arremonops rufivirgatus,Olive Sparrow,Arremonops rufivirgatus,Olive Sparrow,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,5860,Olive Sparrow,Passeriformes,Passerellidae,Arremonops rufivirgatus,yes,Olive Sparrow,Arremonops rufivirgatus,NA,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,5860,Arremonops rufivirgatus,Olive Sparrow
Artemisiospiza belli,Bell's Sparrow,Artemisiospiza belli,Bell's Sparrow,PASSERIFORMES,Passerellidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,5739,Bell's Sparrow,Passeriformes,Passerellidae,Artemisiospiza belli,yes,Bell's Sparrow,Artemisiospiza belli,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Rare/Accidental,yes,5739,Artemisiospiza belli,Bell's Sparrow
Artemisiospiza nevadensis,Sagebrush Sparrow,Artemisiospiza nevadensis,Sagebrush Sparrow,PASSERIFORMES,Passerellidae,Rare/Accidental,NA,NA,Endemic,NA,CA; CAM; hol; NAM; nea; US48,yes,5738,Sagebrush Sparrow,Passeriformes,Passerellidae,Artemisiospiza nevadensis,yes,Sagebrush Sparrow,Artemisiospiza nevadensis,sagebrush and saltbush of Great Basin,Passerellidae (New World Sparrows),Passeriformes,yes,Rare/Accidental; Endemic,yes,5738,Artemisiospiza nevadensis,Sagebrush Sparrow
Artemisiospiza nevadensis/belli,Sagebrush/Bell's Sparrow (Sage Sparrow); unid. Sagebrush Sparrow/Bell's Sparrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5740,unid. Sagebrush Sparrow / Bell's Sparrow,Passeriformes,Passerellidae,Artemisiospiza nevadensis / belli,yes,Sagebrush/Bell's Sparrow (Sage Sparrow),Artemisiospiza nevadensis/belli,NA,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,5740,Artemisiospiza nevadensis/belli,Sagebrush/Bell's Sparrow (Sage Sparrow)
Asio flammeus,Short-eared Owl,Asio flammeus,Short-eared Owl,STRIGIFORMES,Strigidae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,3670,Short-eared Owl,Strigiformes,Strigidae,Asio flammeus,yes,Short-eared Owl,Asio flammeus,NA,Strigidae (Owls),Strigiformes,yes,NA,yes,3670,Asio flammeus,Short-eared Owl
Asio otus,Long-eared Owl,Asio otus,Long-eared Owl,STRIGIFORMES,Strigidae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,3660,Long-eared Owl,Strigiformes,Strigidae,Asio otus,yes,Long-eared Owl,Asio otus,NA,Strigidae (Owls),Strigiformes,yes,Rare/Accidental,yes,3660,Asio otus,Long-eared Owl
Astur atricapillus; Accipiter atricapillus,American Goshawk,Astur atricapillus,American Goshawk,ACCIPITRIFORMES,Accipitridae,NA,NA,NA,NA,NA,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,3340,American Goshawk,Accipitriformes,Accipitridae,Accipiter atricapillus,yes,American Goshawk,Astur atricapillus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,yes,3340,Astur atricapillus,American Goshawk
Astur cooperii; Accipiter cooperii,Cooper's Hawk,Astur cooperii,Cooper's Hawk,ACCIPITRIFORMES,Accipitridae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; SAM; US48,yes,3330,Cooper's Hawk,Accipitriformes,Accipitridae,Accipiter cooperii,yes,Cooper's Hawk,Astur cooperii,woodland of southern Canada and USA; winters to Central America,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,yes,3330,Astur cooperii,Cooper's Hawk
Athene cunicularia,Burrowing Owl,Athene cunicularia,Burrowing Owl,STRIGIFORMES,Strigidae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; TT; US48,yes,3780,Burrowing Owl,Strigiformes,Strigidae,Athene cunicularia,yes,Burrowing Owl,Athene cunicularia,NA,Strigidae (Owls),Strigiformes,yes,NA,yes,3780,Athene cunicularia,Burrowing Owl
Auriparus flaviceps,Verdin,Auriparus flaviceps,Verdin,PASSERIFORMES,Remizidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,7460,Verdin,Passeriformes,Remizidae,Auriparus flaviceps,yes,Verdin,Auriparus flaviceps,NA,Remizidae (Penduline-Tits),Passeriformes,yes,NA,yes,7460,Auriparus flaviceps,Verdin
Aythya affinis,Lesser Scaup,Aythya affinis,Lesser Scaup,ANSERIFORMES,Anatidae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,1490,Lesser Scaup,Anseriformes,Anatidae,Aythya affinis,yes,Lesser Scaup,Aythya affinis,"breeds North America from northern Alaska and western Canada southward through northern California, southern Colorado, and Minnesota (USA); winters to Hawaiian Islands, the Caribbean, and northern South America","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1490,Aythya affinis,Lesser Scaup
Aythya americana,Redhead,Aythya americana,Redhead,ANSERIFORMES,Anatidae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,1460,Redhead,Anseriformes,Anatidae,Aythya americana,yes,Redhead,Aythya americana,Alaska to southern USA; winters to Guatemala and Greater Antilles,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1460,Aythya americana,Redhead
Aythya collaris,Ring-necked Duck,Aythya collaris,Ring-necked Duck,ANSERIFORMES,Anatidae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,1500,Ring-necked Duck,Anseriformes,Anatidae,Aythya collaris,yes,Ring-necked Duck,Aythya collaris,breeds Alaska to southern USA; winters to Panama and southern Lesser Antilles,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1500,Aythya collaris,Ring-necked Duck
Aythya fuligula,Tufted Duck,Aythya fuligula,Tufted Duck,ANSERIFORMES,Anatidae,Rare/Accidental,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,1491,Tufted Duck,Anseriformes,Anatidae,Aythya fuligula,yes,Tufted Duck,Aythya fuligula,"breeds northern Palearctic from Iceland eastward to Kamchatka, southward to central Europe and Mongolia; winters to northern Africa and southern Asia","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental; Rare/Accidental,yes,1491,Aythya fuligula,Tufted Duck
Aythya marila,Greater Scaup,Aythya marila,Greater Scaup,ANSERIFORMES,Anatidae,NA,NA,Rare/Accidental,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX,yes,1480,Greater Scaup,Anseriformes,Anatidae,Aythya marila,yes,Greater Scaup,Aythya marila,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1480,Aythya marila,Greater Scaup
Aythya marila/affinis,Greater/Lesser Scaup; unid. Greater Scaup/Lesser Scaup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,1489,unid. Greater Scaup / Lesser Scaup,Anseriformes,Anatidae,Aythya marila / affinis,yes,Greater/Lesser Scaup,Aythya marila/affinis,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1489,Aythya marila/affinis,Greater/Lesser Scaup
Aythya valisineria,Canvasback,Aythya valisineria,Canvasback,ANSERIFORMES,Anatidae,NA,NA,NA,NA,NA,ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,1470,Canvasback,Anseriformes,Anatidae,Aythya valisineria,yes,Canvasback,Aythya valisineria,"breeds North America from northern Alaska and western Canada southward through northern California, southern Colorado, and Minnesota (USA); winters to central Mexico","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1470,Aythya valisineria,Canvasback
Baeolophus atricristatus,Black-crested Titmouse,Baeolophus atricristatus,Black-crested Titmouse,PASSERIFORMES,Paridae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,7320,Black-crested Titmouse,Passeriformes,Paridae,Baeolophus atricristatus,yes,Black-crested Titmouse,Baeolophus atricristatus,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7320,Baeolophus atricristatus,Black-crested Titmouse
Baeolophus bicolor,Tufted Titmouse,Baeolophus bicolor,Tufted Titmouse,PASSERIFORMES,Paridae,NA,NA,NA,NA,NA,CA; hol; NAM; nea; US48,yes,7310,Tufted Titmouse,Passeriformes,Paridae,Baeolophus bicolor,yes,Tufted Titmouse,Baeolophus bicolor,"south-central Canada (Ontario) to eastern, central, and southeastern USA","Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7310,Baeolophus bicolor,Tufted Titmouse
Baeolophus bicolor/atricristatus,Tufted/Black-crested Titmouse; unid. Tufted Titmouse/Black-crested Titmouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,7315,unid. Tufted Titmouse / Black-crested Titmouse,Passeriformes,Paridae,Baeolophus bicolor / atricristatus,yes,Tufted/Black-crested Titmouse,Baeolophus bicolor/atricristatus,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7315,Baeolophus bicolor/atricristatus,Tufted/Black-crested Titmouse
Baeolophus inornatus,Oak Titmouse,Baeolophus inornatus,Oak Titmouse,PASSERIFORMES,Paridae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,7330,Oak Titmouse,Passeriformes,Paridae,Baeolophus inornatus,yes,Oak Titmouse,Baeolophus inornatus,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7330,Baeolophus inornatus,Oak Titmouse
Baeolophus inornatus/ridgwayi,Oak/Juniper Titmouse (Plain Titmouse); unid. Oak Titmouse/Juniper Titmouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,7332,unid. Oak Titmouse / Juniper Titmouse,Passeriformes,Paridae,Baeolophus inornatus / ridgwayi,yes,Oak/Juniper Titmouse (Plain Titmouse),Baeolophus inornatus/ridgwayi,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7332,Baeolophus inornatus/ridgwayi,Oak/Juniper Titmouse (Plain Titmouse)
Baeolophus ridgwayi,Juniper Titmouse,Baeolophus ridgwayi,Juniper Titmouse,PASSERIFORMES,Paridae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,7331,Juniper Titmouse,Passeriformes,Paridae,Baeolophus ridgwayi,yes,Juniper Titmouse,Baeolophus ridgwayi,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7331,Baeolophus ridgwayi,Juniper Titmouse
Baeolophus wollweberi,Bridled Titmouse,Baeolophus wollweberi,Bridled Titmouse,PASSERIFORMES,Paridae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,7340,Bridled Titmouse,Passeriformes,Paridae,Baeolophus wollweberi,yes,Bridled Titmouse,Baeolophus wollweberi,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,yes,7340,Baeolophus wollweberi,Bridled Titmouse
Bartramia longicauda,Upland Sandpiper,Bartramia longicauda,Upland Sandpiper,CHARADRIIFORMES,Scolopacidae,NA,NA,Rare/Accidental,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; pal; SAM; TT; US48; USak,yes,2610,Upland Sandpiper,Charadriiformes,Scolopacidae,Bartramia longicauda,yes,Upland Sandpiper,Bartramia longicauda,breeds Alaska to southern USA; winters in South America,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,yes,2610,Bartramia longicauda,Upland Sandpiper
Bombycilla cedrorum,Cedar Waxwing,Bombycilla cedrorum,Cedar Waxwing,PASSERIFORMES,Bombycillidae,NA,NA,NA,NA,NA,CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; US48; USak,yes,6190,Cedar Waxwing,Passeriformes,Bombycillidae,Bombycilla cedrorum,yes,Cedar Waxwing,Bombycilla cedrorum,North America; winters to northern South America and Greater Antilles,Bombycillidae (Waxwings),Passeriformes,yes,NA,yes,6190,Bombycilla cedrorum,Cedar Waxwing
