scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist
Pterodroma gouldi,Gray-faced Petrel,Gray-faced Petrel,Pterodroma gouldi,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,AFR; AUS; hol; NAM; nea; OCE; PAC; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Gray-faced Petrel,Pterodroma gouldi,"breeds on many islands, especially Moutohora Island and Hongiora Island (Bay of Plenty), and headlands of northern North Island (New Zealand); non-breeding range in deep subtropical water from Tasman Sea (off southeastern Australia) to southern Melanesian waters (southwestern Pacific Ocean)",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Pterodroma hasitata,Black-capped Petrel,Black-capped Petrel,Pterodroma hasitata,Endangered,PROCELLARIIFORMES,Procellariidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Black-capped Petrel,Pterodroma hasitata,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Pterodroma hypoleuca,Bonin Petrel,Bonin Petrel,Pterodroma hypoleuca,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,ASI; AUS; hol; NAM; nea; OCE; opa; PAC; pal; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Bonin Petrel,Pterodroma hypoleuca,"Volcano, Bonin, and western Hawaiian islands; ranges to Polynesia",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Pterodroma inexpectata,Mottled Petrel,Mottled Petrel,Pterodroma inexpectata,Rare/Accidental Near-threatened,PROCELLARIIFORMES,Procellariidae,ASI; AUS; CA; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Mottled Petrel,Pterodroma inexpectata,"breeds Stewart and Snares islands, and southwestern South Island (New Zealand)",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Pterodroma longirostris,Stejneger's Petrel,Stejneger's Petrel,Pterodroma longirostris,Rare/Accidental Vulnerable,PROCELLARIIFORMES,Procellariidae,ASI; AUS; CAM; hol; NAM; nea; OCE; PAC; pal; SAM; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Stejneger's Petrel,Pterodroma longirostris,Alejandro Selkirk Island (off Chile); ranges eastern and North Pacific,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Pterodroma madeira,Zino's Petrel,Zino's Petrel,Pterodroma madeira,Rare/Accidental Endangered,PROCELLARIIFORMES,Procellariidae,AFR; EUR; hol; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Zino's Petrel,Pterodroma madeira,breeds in summer in cliffs high on Pico do Arieiro (central Madeira; central Macaronesia); non-breeding range in subtropical and tropical Atlantic to Azores (northwestern Macaronesia) and St. Helena and northeastern Brazil (tropical South Atlantic Ocean),Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Pterodroma neglecta,Kermadec Petrel,Kermadec Petrel,Pterodroma neglecta,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,AFR; ASI; AUS; CAM; EUR; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Kermadec Petrel,Pterodroma neglecta,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Pterodroma sandwichensis,Hawaiian Petrel,Hawaiian Petrel,Pterodroma sandwichensis,Rare/Accidental Endangered,PROCELLARIIFORMES,Procellariidae,ASI; CA; CAM; hol; NAM; nea; OCE; opa; PAC; pal; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Hawaiian Petrel,Pterodroma sandwichensis,Hawaiian Islands; ranges southward to Polynesia,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Pterodroma solandri,Providence Petrel,Providence Petrel,Pterodroma solandri,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,ASI; AUS; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Providence Petrel,Pterodroma solandri,breeds Lord Howe Island and Philip Island; ranges to northwestern Pacific,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Pterodroma ultima,Murphy's Petrel,Murphy's Petrel,Pterodroma ultima,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,AFR; ASI; AUS; CA; CAM; hol; NAM; nea; OCE; opa; PAC; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Murphy's Petrel,Pterodroma ultima,"Tuamotu Archipelago, Austral Islands, and Pitcairn Island",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Ptiliogonys cinereus,Gray Silky-flycatcher,Gray Silky-flycatcher,Ptiliogonys cinereus,Rare/Accidental,PASSERIFORMES,Ptiliogonatidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Gray Silky-flycatcher,Ptiliogonys cinereus,NA,Ptiliogonatidae (Silky-flycatchers),Passeriformes,yes,Ptiliogonys cinereus,Gray Silky-flycatcher,Mexico,Passeriformes,Ptiliogonatidae,9/18/2024-9/20/2024,yes
Ptychoramphus aleuticus,Cassin's Auklet,Cassin's Auklet,Ptychoramphus aleuticus,Near-threatened,CHARADRIIFORMES,Alcidae,ASI; CA; CAM; hol; NAM; nea; pal; US48; USak; UShi; XX,yes,160,Cassin's Auklet,Charadriiformes,Alcidae,Ptychoramphus aleuticus,yes,Cassin's Auklet,Ptychoramphus aleuticus,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Ptychoramphus aleuticus,Cassin's Auklet,CONUS & Canada,Charadriiformes,Alcidae,1/12/2023,yes
Puffinus baroli,Barolo Shearwater,Barolo Shearwater,Puffinus baroli,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,AFR; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Barolo Shearwater,Puffinus baroli,"Azores, Desertas, Salvage, and Canary islands",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Puffinus newelli,Newell's Shearwater,Newell's Shearwater,Puffinus newelli,Rare/Accidental Critically endangered,PROCELLARIIFORMES,Procellariidae,ASI; AUS; CAM; hol; NAM; nea; OCE; PAC; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Newell's Shearwater,Puffinus newelli,"breeds main Hawaiian Islands (primarily Kauai, also Molokai, Maui, and Hawaii); nonbreeding in the eastern tropical Pacific Ocean",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Puffinus newelli,Newell's Shearwater,Mexico,Procellariiformes,Procellariidae,09/11/24,yes
Puffinus opisthomelas,Black-vented Shearwater,Black-vented Shearwater,Puffinus opisthomelas,Near-threatened,PROCELLARIIFORMES,Procellariidae,CA; CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Black-vented Shearwater,Puffinus opisthomelas,islands off western coast of Baja California; disperses adjacent Mexican waters,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Puffinus opisthomelas,Black-vented Shearwater,Mexico,Procellariiformes,Procellariidae,9/11/2024-9/13/2024,yes
Puffinus puffinus,Manx Shearwater,Manx Shearwater,Puffinus puffinus,NA,PROCELLARIIFORMES,Procellariidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; oat; OCE; pal; SAM; TT; US48; USak; XX,yes,900,Manx Shearwater,Procellariiformes,Procellariidae,Puffinus puffinus,yes,Manx Shearwater,Puffinus puffinus,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Puffinus puffinus,Manx Shearwater,CONUS & Canada,Procellariiformes,Procellariidae,1/27/2023,yes
Pycnonotus cafer,Red-vented Bulbul,Red-vented Bulbul,Pycnonotus cafer,Introduced species,PASSERIFORMES,Pycnonotidae,ASI; AUS; hol; MID; NAM; nea; OCE; PAC; pal; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-vented Bulbul,Pycnonotus cafer,NA,Pycnonotidae (Bulbuls),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Pycnonotus jocosus,Red-whiskered Bulbul,Red-whiskered Bulbul,Pycnonotus jocosus,Introduced species,PASSERIFORMES,Pycnonotidae,AFR; ASI; AUS; hol; MID; NAM; OCE; PAC; pal; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-whiskered Bulbul,Pycnonotus jocosus,NA,Pycnonotidae (Bulbuls),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Pygochelidon cyanoleuca,Blue-and-white Swallow,Blue-and-white Swallow,Pygochelidon cyanoleuca,Rare/Accidental,PASSERIFORMES,Hirundinidae,CAM; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Blue-and-white Swallow,Pygochelidon cyanoleuca,NA,Hirundinidae (Swallows),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Pyrocephalus rubinus,Vermilion Flycatcher,Vermilion Flycatcher,Pyrocephalus rubinus,NA,PASSERIFORMES,Tyrannidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; US48; XX,yes,4710,Vermilion Flycatcher,Passeriformes,Tyrannidae,Pyrocephalus rubinus,yes,Vermilion Flycatcher,Pyrocephalus rubinus,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Pyrocephalus rubinus,Vermilion Flycatcher,CONUS & Canada,Passeriformes,Tyrannidae,2/15/2023,yes
Quiscalus major,Boat-tailed Grackle,Boat-tailed Grackle,Quiscalus major,Endemic,PASSERIFORMES,Icteridae,CAM; CAR; EUR; hol; NAM; nan; nea; pal; US48,yes,5130,Boat-tailed Grackle,Passeriformes,Icteridae,Quiscalus major,yes,Boat-tailed Grackle,Quiscalus major,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Quiscalus major,Boat-tailed Grackle,CONUS & Canada,Passeriformes,Icteridae,3/14/2023-3/21/2023,yes
Quiscalus major/mexicanus,Boat-tailed/Great-tailed Grackle; unid. Boat-tailed Grackle/Great-tailed Grackle,NA,NA,NA,NA,NA,NA,no,5135,unid. Boat-tailed Grackle / Great-tailed Grackle,Passeriformes,Icteridae,Quiscalus major / mexicanus,yes,Boat-tailed/Great-tailed Grackle,Quiscalus major/mexicanus,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Quiscalus major / mexicanus,unid. Boat-tailed Grackle / Great-tailed Grackle,CONUS & Canada,Passeriformes,Icteridae,N/A; unidentified species,yes
Quiscalus mexicanus,Great-tailed Grackle,Great-tailed Grackle,Quiscalus mexicanus,NA,PASSERIFORMES,Icteridae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48; UShi,yes,5120,Great-tailed Grackle,Passeriformes,Icteridae,Quiscalus mexicanus,yes,Great-tailed Grackle,Quiscalus mexicanus,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Quiscalus mexicanus,Great-tailed Grackle,CONUS & Canada,Passeriformes,Icteridae,3/16/2023-3/28/2023,yes
Quiscalus quiscula,Common Grackle,Common Grackle,Quiscalus quiscula,Near-threatened,PASSERIFORMES,Icteridae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,5110,Common Grackle,Passeriformes,Icteridae,Quiscalus quiscula,yes,Common Grackle,Quiscalus quiscula,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Quiscalus quiscula,Common Grackle,CONUS & Canada,Passeriformes,Icteridae,3/14/2023,yes
Rallus crepitans,Clapper Rail,Clapper Rail,Rallus crepitans,NA,GRUIFORMES,Rallidae,CA; CAM; CAR; hol; NAM; nea; SAM; US48,yes,2110,Clapper Rail,Gruiformes,Rallidae,Rallus crepitans,yes,Clapper Rail,Rallus crepitans,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rallus crepitans,Clapper Rail,CONUS & Canada,Gruiformes,Rallidae,12/15/2022,yes
Rallus elegans,King Rail,King Rail,Rallus elegans,Near-threatened,GRUIFORMES,Rallidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,2080,King Rail,Gruiformes,Rallidae,Rallus elegans,yes,King Rail,Rallus elegans,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rallus elegans,King Rail,CONUS & Canada,Gruiformes,Rallidae,9/22/2023,yes
Rallus elegans/crepitans; Rallus crepitans/elegans,King/Clapper Rail; unid. Clapper/King Rail,NA,NA,NA,NA,NA,NA,no,2090,unid. Clapper / King Rail,Gruiformes,Rallidae,Rallus crepitans / elegans,yes,King/Clapper Rail,Rallus elegans/crepitans,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rallus crepitans / elegans,unid. Clapper / King Rail,CONUS & Canada,Gruiformes,Rallidae,N/A; unidentified species,yes
Rallus limicola,Virginia Rail,Virginia Rail,Rallus limicola,NA,GRUIFORMES,Rallidae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; US48; USak,yes,2120,Virginia Rail,Gruiformes,Rallidae,Rallus limicola,yes,Virginia Rail,Rallus limicola,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rallus limicola,Virginia Rail,CONUS & Canada,Gruiformes,Rallidae,12/16/2022,yes
Rallus obsoletus,Ridgway's Rail,Ridgway's Rail,Rallus obsoletus,Near-threatened,GRUIFORMES,Rallidae,CAM; hol; NAM; nea; SAM; US48,yes,2111,Ridgway's Rail,Gruiformes,Rallidae,Rallus obsoletus,yes,Ridgway's Rail,Rallus obsoletus,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rallus obsoletus,Ridgway's Rail,CONUS & Canada,Gruiformes,Rallidae,9/22/2023,yes
Ramosomyia violiceps,Violet-crowned Hummingbird,Violet-crowned Hummingbird,Ramosomyia violiceps,NA,APODIFORMES,Trochilidae,CAM; hol; NAM; nea; US48,yes,4391,Violet-crowned Hummingbird,Apodiformes,Trochilidae,Ramosomyia violiceps,yes,Violet-crowned Hummingbird,Ramosomyia violiceps,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Ramosomyia violiceps,Violet-crowned Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,12/15/2022,yes
Recurvirostra americana,American Avocet,American Avocet,Recurvirostra americana,NA,CHARADRIIFORMES,Recurvirostridae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak; UShi,yes,2250,American Avocet,Charadriiformes,Recurvirostridae,Recurvirostra americana,yes,American Avocet,Recurvirostra americana,southern Canada to northern Mexico; winters southern USA to Costa Rica and Cuba,Recurvirostridae (Stilts and Avocets),Charadriiformes,yes,Recurvirostra americana,American Avocet,CONUS & Canada,Charadriiformes,Recurvirostridae,12/16/2022,yes
Regulus satrapa,Golden-crowned Kinglet,Golden-crowned Kinglet,Regulus satrapa,NA,PASSERIFORMES,Regulidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,7480,Golden-crowned Kinglet,Passeriformes,Regulidae,Regulus satrapa,yes,Golden-crowned Kinglet,Regulus satrapa,NA,Regulidae (Kinglets),Passeriformes,yes,Regulus satrapa,Golden-crowned Kinglet,CONUS & Canada,Passeriformes,Regulidae,2/28/2023,yes
Rhodostethia rosea,Ross's Gull,Ross's Gull,Rhodostethia rosea,Rare/Accidental,CHARADRIIFORMES,Laridae,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak,yes,610,Ross's Gull,Charadriiformes,Laridae,Rhodostethia rosea,yes,Ross's Gull,Rhodostethia rosea,locally in Siberia and Arctic North America,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rhodostethia rosea,Ross's Gull,CONUS & Canada,Charadriiformes,Laridae,10/11/2023-10/12/2023,yes
Rhynchophanes mccownii,Thick-billed Longspur; McCown's Longspur,Thick-billed Longspur,Rhynchophanes mccownii,NA,PASSERIFORMES,Calcariidae,CA; CAM; hol; NAM; nea; US48,yes,5390,Thick-billed Longspur,Passeriformes,Calcariidae,Rhynchophanes mccownii,yes,Thick-billed Longspur,Rhynchophanes mccownii,breeds western Canada to northwestern USA; winters to northwestern Mexico,Calcariidae (Longspurs and Snow Buntings),Passeriformes,yes,Rhynchophanes mccownii,McCown's Longspur,CONUS & Canada,Passeriformes,Calcariidae,11/3/2023-11/6/2023,yes
Rhynchopsitta pachyrhyncha,Thick-billed Parrot,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,Rare/Accidental Endangered,PSITTACIFORMES,Psittacidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,mountains of western Mexico (Sierra Madre Occidental),Psittacidae (New World and African Parrots),Psittaciformes,yes,Rhynchopsitta pachyrhyncha,Thick-billed Parrot,Mexico,Psittaciformes,Psittacidae,09/17/2024,yes
Ridgwayia pinicola,Aztec Thrush,Aztec Thrush,Ridgwayia pinicola,Rare/Accidental,PASSERIFORMES,Turdidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Aztec Thrush,Ridgwayia pinicola,oak-pine forest of western and central Mexico (Sonora to Oaxaca),Turdidae (Thrushes and Allies),Passeriformes,yes,Ridgwayia pinicola,Aztec Thrush,Mexico,Passeriformes,Turdidae,9/13/2024,yes
Riparia riparia,Bank Swallow,Bank Swallow,Riparia riparia,NA,PASSERIFORMES,Hirundinidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX,yes,6160,Bank Swallow,Passeriformes,Hirundinidae,Riparia riparia,yes,Bank Swallow,Riparia riparia,NA,Hirundinidae (Swallows),Passeriformes,yes,Riparia riparia,Bank Swallow,CONUS & Canada,Passeriformes,Hirundinidae,7/29/2022,yes
Rissa brevirostris,Red-legged Kittiwake,Red-legged Kittiwake,Rissa brevirostris,Rare/Accidental Vulnerable,CHARADRIIFORMES,Laridae,ASI; CA; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Red-legged Kittiwake,Rissa brevirostris,"Komandorskiye, Aleutian, and Pribilof islands; winters North Pacific","Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Rissa tridactyla,Black-legged Kittiwake,Black-legged Kittiwake,Rissa tridactyla,Vulnerable,CHARADRIIFORMES,Laridae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; oat; OCE; opa; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,400,Black-legged Kittiwake,Charadriiformes,Laridae,Rissa tridactyla,yes,Black-legged Kittiwake,Rissa tridactyla,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rissa tridactyla,Black-legged Kittiwake,CONUS & Canada,Charadriiformes,Laridae,1/13/2023-1/17/2023,yes
Rostrhamus sociabilis,Snail Kite,Snail Kite,Rostrhamus sociabilis,NA,ACCIPITRIFORMES,Accipitridae,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,3300,Snail Kite,Accipitriformes,Accipitridae,Rostrhamus sociabilis,yes,Snail Kite,Rostrhamus sociabilis,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Rostrhamus sociabilis,Snail Kite,CONUS & Canada,Accipitriformes,Accipitridae,2/2/2023,yes
Rupornis magnirostris,Roadside Hawk,Roadside Hawk,Rupornis magnirostris,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,CAM; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Roadside Hawk,Rupornis magnirostris,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Rupornis magnirostris,Roadside Hawk,Mexico,Accipitriformes,Accipitridae,9/13/2024-9/17/2024,yes
Rynchops niger,Black Skimmer,Black Skimmer,Rynchops niger,NA,CHARADRIIFORMES,Laridae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48,yes,800,Black Skimmer,Charadriiformes,Laridae,Rynchops niger,yes,Black Skimmer,Rynchops niger,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rynchops niger,Black Skimmer,CONUS & Canada,Charadriiformes,Laridae,1/27/2023,yes
Salpinctes obsoletus,Rock Wren,Rock Wren,Salpinctes obsoletus,NA,PASSERIFORMES,Troglodytidae,CA; CAM; hol; NAM; nea; US48; USak,yes,7150,Rock Wren,Passeriformes,Troglodytidae,Salpinctes obsoletus,yes,Rock Wren,Salpinctes obsoletus,NA,Troglodytidae (Wrens),Passeriformes,yes,Salpinctes obsoletus,Rock Wren,CONUS & Canada,Passeriformes,Troglodytidae,3/6/2023,yes
Saxicola maurus,Siberian Stonechat,Siberian Stonechat,Saxicola maurus,Rare/Accidental,PASSERIFORMES,Muscicapidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Siberian Stonechat,Saxicola maurus,NA,Muscicapidae (Old World Flycatchers),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Saxicola stejnegeri,Amur Stonechat,Amur Stonechat,Saxicola stejnegeri,Rare/Accidental,PASSERIFORMES,Muscicapidae,ASI; AUS; EUR; hol; MID; NAM; nea; OCE; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Amur Stonechat,Saxicola stejnegeri,eastern Siberia to Japan and Korea; winters to southern China and Indochina,Muscicapidae (Old World Flycatchers),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Sayornis nigricans,Black Phoebe,Black Phoebe,Sayornis nigricans,NA,PASSERIFORMES,Tyrannidae,CA; CAM; hol; NAM; nea; SAM; US48; USak,yes,4580,Black Phoebe,Passeriformes,Tyrannidae,Sayornis nigricans,yes,Black Phoebe,Sayornis nigricans,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Sayornis nigricans,Black Phoebe,CONUS & Canada,Passeriformes,Tyrannidae,2/15/2023,yes
Sayornis phoebe,Eastern Phoebe,Eastern Phoebe,Sayornis phoebe,NA,PASSERIFORMES,Tyrannidae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,4560,Eastern Phoebe,Passeriformes,Tyrannidae,Sayornis phoebe,yes,Eastern Phoebe,Sayornis phoebe,breeds eastern Canada and USA; winters to southeastern Mexico,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Sayornis phoebe,Eastern Phoebe,CONUS & Canada,Passeriformes,Tyrannidae,7/11/2022,yes
Sayornis saya,Say's Phoebe,Say's Phoebe,Sayornis saya,NA,PASSERIFORMES,Tyrannidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,4570,Say's Phoebe,Passeriformes,Tyrannidae,Sayornis saya,yes,Say's Phoebe,Sayornis saya,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Sayornis saya,Say's Phoebe,CONUS & Canada,Passeriformes,Tyrannidae,2/15/2023,yes
Scolopax minor,American Woodcock,American Woodcock,Scolopax minor,NA,CHARADRIIFORMES,Scolopacidae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48,yes,2280,American Woodcock,Charadriiformes,Scolopacidae,Scolopax minor,yes,American Woodcock,Scolopax minor,breeds eastern Canada and USA; winters to Gulf Coast,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Scolopax minor,American Woodcock,CONUS & Canada,Charadriiformes,Scolopacidae,1/6/2023,yes
Scolopax rusticola,Eurasian Woodcock,Eurasian Woodcock,Scolopax rusticola,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Eurasian Woodcock,Scolopax rusticola,locally in moist woodland and bogs of Eurasia,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Seiurus aurocapilla,Ovenbird,Ovenbird,Seiurus aurocapilla,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX,yes,6740,Ovenbird,Passeriformes,Parulidae,Seiurus aurocapilla,yes,Ovenbird,Seiurus aurocapilla,NA,Parulidae (New World Warblers),Passeriformes,yes,Seiurus aurocapilla,Ovenbird,CONUS & Canada,Passeriformes,Parulidae,3/16/2023,yes
Selasphorus calliope,Calliope Hummingbird,Calliope Hummingbird,Selasphorus calliope,NA,APODIFORMES,Trochilidae,CA; CAM; hol; NAM; nea; US48; USak,yes,4360,Calliope Hummingbird,Apodiformes,Trochilidae,Selasphorus calliope,yes,Calliope Hummingbird,Selasphorus calliope,mountains of British Columbia to southwestern USA and northern Baja California; winters to southern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,Selasphorus calliope,Calliope Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,4/4/2022,yes
Selasphorus heloisa,Bumblebee Hummingbird,Bumblebee Hummingbird,Selasphorus heloisa,Rare/Accidental,APODIFORMES,Trochilidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Bumblebee Hummingbird,Selasphorus heloisa,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Selasphorus heloisa,Bumblebee Hummingbird,Mexico,Caprimulgiformes,Trochilidae,09/16/24,yes
Selasphorus platycercus,Broad-tailed Hummingbird,Broad-tailed Hummingbird,Selasphorus platycercus,NA,APODIFORMES,Trochilidae,CA; CAM; hol; NAM; nea; US48,yes,4320,Broad-tailed Hummingbird,Apodiformes,Trochilidae,Selasphorus platycercus,yes,Broad-tailed Hummingbird,Selasphorus platycercus,mountains of southwestern USA to Mexico and Guatemala,Trochilidae (Hummingbirds),Apodiformes,yes,Selasphorus platycercus,Broad-tailed Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,11/23/2021,yes
Selasphorus rufus,Rufous Hummingbird,Rufous Hummingbird,Selasphorus rufus,Near-threatened,APODIFORMES,Trochilidae,ASI; CA; CAM; CAR; hol; NAM; nea; pal; US48; USak,yes,4330,Rufous Hummingbird,Apodiformes,Trochilidae,Selasphorus rufus,yes,Rufous Hummingbird,Selasphorus rufus,Alaska to northwestern USA; winters to southern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,Selasphorus rufus,Rufous Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,"4/2/2019, checked 6/20/2022",yes
Selasphorus rufus/sasin,Rufous/Allen's Hummingbird; unid. Rufous Hummingbird/Allen's Hummingbird,NA,NA,NA,NA,NA,NA,no,4335,unid. Rufous Hummingbird / Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus rufus / sasin,yes,Rufous/Allen's Hummingbird,Selasphorus rufus/sasin,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Selasphorus rufus / sasin,unid. Rufous Hummingbird / Allen's Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,N/A; unidentified species,yes
